question_id,question,expected_answer,source_document,page,question_type,difficulty,language
Q25,What was the national fully immunized-children coverage in FY 2081/82?,92.5%,Nepal Health Fact Sheets 2025,36-39,Numerical,Easy,English
Q26,What was the national DPT-HepB-Hib3 coverage in FY 2081/82?,86.2%,Nepal Health Fact Sheets 2025,36-37,Numerical,Moderate,English
Q27,What was the national institutional-delivery coverage among expected live births in FY 2081/82?,88%,Nepal Health Fact Sheets 2025,46-47,Numerical,Easy,English
Q28,What was the national HIV positivity rate in FY 2081/82?,0.5%,Nepal Health Fact Sheets 2025,72-73,Numerical,Easy,English
Q29,What was the national average length of hospital stay in FY 2081/82?,3.6 days,Nepal Health Fact Sheets 2025,54-55,Numerical,Moderate,English
Q30,What was Nepal's maternal mortality ratio according to the NMMS 2021?,"151 per 100,000 live births",Population and Housing Census 2021: A Report on Maternal Mortality,16-17,Numerical,Easy,English
Q31,"How many pregnancy-related deaths were identified, and how many were classified as maternal deaths?",653 pregnancy-related deaths; 622 maternal deaths,Population and Housing Census 2021: A Report on Maternal Mortality,16-17,Numerical,Moderate,English
Q32,What proportion of maternal deaths occurred during the postpartum period?,61%,Population and Housing Census 2021: A Report on Maternal Mortality,16-17,Numerical,Easy,English
Q33,What was the largest overall cause group of maternal deaths?,"Non-obstetric complications, 32%",Population and Housing Census 2021: A Report on Maternal Mortality,25-26,Direct factual,Moderate,English
Q34,What was the leading direct cause of maternal death?,"Obstetric haemorrhage, 26%",Population and Housing Census 2021: A Report on Maternal Mortality,25-26,Direct factual,Easy,English
Q35,What proportion of deceased women experienced at least one of the three delays?,74%,Population and Housing Census 2021: A Report on Maternal Mortality,24-25,Numerical,Moderate,English
Q36,What were the three types of delays described in relation to maternal mortality?,"Delay in seeking care, delay in reaching a health facility, and delay in receiving appropriate care.",Population and Housing Census 2021: A Report on Maternal Mortality,24-25,Conceptual,Moderate,English
Q37,What was the main purpose of the 2021 NHFS?,To provide information on availability of basic/essential services and readiness of health facilities to provide quality services.,Nepal Health Facility Survey 2021 - Final Report,xxvii-xxviii,Conceptual,Easy,English
Q38,Which types of health facilities were assessed in the NHFS?,"Hospitals, PHCCs, health posts, CHUs, stand-alone HTCs and UHCs.",Nepal Health Facility Survey 2021 - Final Report,xxvii-xxviii,Direct factual,Moderate,English
Q39,Approximately what proportion of facilities offered the full package of basic client services?,About three quarters.,Nepal Health Facility Survey 2021 - Final Report,xxviii,Numerical,Easy,English
Q40,What percentage of facilities had all six basic amenities considered essential for quality client services?,17%,Nepal Health Facility Survey 2021 - Final Report,xxviii,Numerical,Moderate,English
Q41,What percentage of health facilities offered at least one temporary modern family-planning method?,98%,Nepal Health Facility Survey 2021 - Final Report,xxix,Numerical,Easy,English
Q42,What percentage of family-planning consultations assured visual and auditory privacy/confidentiality?,12%,Nepal Health Facility Survey 2021 - Final Report,xxix,Numerical,Hard,English
Q43,What percentage of facilities offering ANC had all three pregnancy-related diagnostic tests available?,3%,Nepal Health Facility Survey 2021 - Final Report,xxix,Numerical,Hard,English
Q44,MSNP III ले कति वटा प्रमुख उपलब्धि हासिल गर्ने अपेक्षा गरेको छ?,चार वटा उपलब्धि।,Multisectoral Nutrition Plan III,39-40,Direct factual,Easy,Nepali
Q45,ती चार प्रमुख उपलब्धिहरू के हुन्?,"पोषण विशेष सेवामा पहुँच/उपभोग सुधार; पोषण संवेदनशील सेवामा पहुँच/उपभोग र स्वस्थ खाद्य उपभोग वृद्धि; तीन तहका सरकारमा पोषणमैत्री प्रणाली संस्थागत; स्वास्थ्य/पोषण/WASH सम्बन्धी ज्ञान, व्यवहार र अभ्यासमा सकारात्मक परिवर्तन।",Multisectoral Nutrition Plan III,39-40,Structured retrieval,Hard,Nepali
Q46,पाँच वर्षमुनिका बालबालिकामा stunting को आधाररेखा कति थियो?,24.8%,Multisectoral Nutrition Plan III,Indicator table - verify printed page,Numerical,Moderate,Nepali
Q47,पाँच वर्षमुनिका बालबालिकामा wasting को आधाररेखा कति थियो?,7.7%,Multisectoral Nutrition Plan III,Indicator table - verify printed page,Numerical,Moderate,Nepali
Q48,What is the vision of the National Health Policy 2019?,"Healthy, alert and conscious citizens oriented to happy life.",National Health Policy 2019,5,Policy,Easy,English
Q49,What is the goal of the National Health Policy 2019?,To develop and expand a health system for all citizens based on social justice and good governance and ensure access to and utilization of quality health services.,National Health Policy 2019,5,Policy,Moderate,English
Q50,What are the six objectives of the National Health Policy 2019?,Ensure constitutional right to health; develop/expand/improve health systems under federal structure; improve service quality/easy access; strengthen social health protection; promote multisectoral partnership/community involvement; transform the health sector from profit-oriented to service-oriented.,National Health Policy 2019,6,Structured retrieval,Hard,English
